cid,g,a,d,i,cl
D,F,2,5,6,0
D,F,2,6,14,0
D,F,2,7,17,0
D,F,2,8,7,0
D,F,2,9,7,0
D,F,2,10,7,0
D,F,2,11,21,0
D,F,2,12,24,0
D,F,2,13,15,0
D,F,2,14,27,0
D,F,2,15,30,0
D,F,2,16,23,0
D,F,2,17,22,0
D,F,2,18,14,1
D,F,2,19,33,0
D,F,2,20,43,0
D,F,2,21,19,0
D,F,2,22,37,1
D,F,2,23,19,0
D,F,2,24,28,0
D,F,2,25,19,0
D,F,2,26,31,0
D,F,2,27,25,0
D,F,2,28,10,0
D,F,2,29,12,1
D,F,3,1,4,0
D,F,3,4,14,0
D,F,3,5,10,0
D,F,3,6,8,0
D,F,3,7,12,0
D,F,3,8,4,0
D,F,3,9,7,0
D,F,3,10,12,0
D,F,3,11,23,0
D,F,3,12,10,0
D,F,3,13,13,0
D,F,3,14,26,0
D,F,3,15,16,0
D,F,3,16,11,2
D,F,3,17,35,1
D,F,3,18,23,0
D,F,3,19,26,0
D,F,3,20,39,0
D,F,3,21,10,0
D,F,3,22,25,0
D,F,3,23,16,0
D,F,3,24,16,0
D,F,3,25,26,0
D,F,3,26,29,0
D,F,3,27,18,0
D,F,3,28,14,0
D,F,3,29,8,0
D,F,4,1,3,0
D,F,4,2,1,0
D,F,4,4,8,0
D,F,4,5,10,0
D,F,4,6,12,0
D,F,4,7,15,0
D,F,4,8,3,0
D,F,4,9,12,0
D,F,4,10,18,0
D,F,4,11,15,0
D,F,4,12,19,0
D,F,4,13,21,0
D,F,4,14,17,0
D,F,4,15,10,0
D,F,4,16,17,0
D,F,4,17,18,0
D,F,4,18,20,0
D,F,4,19,34,0
D,F,4,20,32,1
D,F,4,21,21,0
D,F,4,22,30,0
D,F,4,23,15,0
D,F,4,24,21,0
D,F,4,25,22,0
D,F,4,26,25,0
D,F,4,27,21,0
D,F,4,28,9,1
D,F,4,29,3,0
D,F,5,1,5,0
D,F,5,2,1,0
D,F,5,4,10,0
D,F,5,5,16,0
D,F,5,6,12,0
D,F,5,7,20,0
D,F,5,8,5,0
D,F,5,9,17,0
D,F,5,10,17,0
D,F,5,11,25,0
D,F,5,12,31,0
D,F,5,13,40,0
D,F,5,14,44,0
D,F,5,15,22,0
D,F,5,16,24,0
D,F,5,17,39,0
D,F,5,18,56,0
D,F,5,19,63,0
D,F,5,20,54,0
D,F,5,21,26,0
D,F,5,22,41,0
D,F,5,23,32,0
D,F,5,24,35,0
D,F,5,25,22,0
D,F,5,26,35,0
D,F,5,27,24,0
D,F,5,28,21,0
D,F,5,29,16,0
D,F,6,1,10,0
D,F,6,2,8,0
D,F,6,4,35,0
D,F,6,5,22,0
D,F,6,6,35,0
D,F,6,7,21,0
D,F,6,8,16,0
D,F,6,9,31,0
D,F,6,10,44,1
D,F,6,11,73,1
D,F,6,12,49,0
